id,name
0,"This video which shows bad, cruel or violent behavior against children, old people, animals, and women is of the category abuse."
1,"This video which shows police arresting individuals is of the category arrest."
2,"This video which shows people deliberately setting fire to property is of the category arson."
3,"This video which shows a sudden or violent physical attack on someone is of the category assault."
4,"This video which shows traffic accidents involving vehicles, pedestrians or cyclists is of the category road accidents."
5,"This video which shows people (thieves) entering into a building or house with the intention to commit theft is of the category burglary."
6,"This video which shows destructive event of something blowing apart is of the category explosion."
7,"This video which displays two or more people attacking one another is of the category fighting."
8,"This video which shows thieves taking money unlawfully by force or threat of force is of the category robbery."
9,"This video which shows the act of shooting someone with a gun is of the vat shooting."
10,"This video which shows people taking property or money without permission is of the category stealing."
11,"This video which shows people stealing goods from a shop while posing as a shopper is of the category shoplifting."
12,"This video which shows action involving deliberate destruction of or damage to public or private property is of the category vandalism."
13,"This video which include both indoor (such as a shopping mall) or outdoor scenes as well as day and night-time scenes is of the category normal daily video."
