id,name
0,abuse
1,arrest
2,arson
3,assault
4,road accidents
5,burglary
6,explosion
7,fighting
8,robbery
9,shooting
10,stealing
11,shoplifting
12,vandalism
13,daily video
13,abseiling
13,air drumming
13,answering questions
13,applauding
13,applying cream
13,archery
13,arm wrestling
13,arranging flowers
13,assembling computer
13,auctioning
13,baby waking up
13,baking cookies
13,balloon blowing
13,bandaging
13,barbequing
13,bartending
13,beatboxing
13,bee keeping
13,belly dancing
13,bench pressing
13,bending back
13,bending metal
13,biking through snow
13,blasting sand
13,blowing glass
13,blowing leaves
13,blowing nose
13,blowing out candles
13,bobsledding
13,bookbinding
13,bouncing on trampoline
13,bowling
13,braiding hair
13,breading or breadcrumbing
13,breakdancing
13,brush painting
13,brushing hair
13,brushing teeth
13,building cabinet
13,building shed
13,bungee jumping
13,busking
13,canoeing or kayaking
13,capoeira
13,carrying baby
13,cartwheeling
13,carving pumpkin
13,catching fish
13,catching or throwing baseball
13,catching or throwing frisbee
13,catching or throwing softball
13,celebrating
13,changing oil
13,changing wheel
13,checking tires
13,cheerleading
13,chopping wood
13,clapping
13,clay pottery making
13,clean and jerk
13,cleaning floor
13,cleaning gutters
13,cleaning pool
13,cleaning shoes
13,cleaning toilet
13,cleaning windows
13,climbing a rope
13,climbing ladder
13,climbing tree
13,contact juggling
13,cooking chicken
13,cooking egg
13,cooking on campfire
13,cooking sausages
13,counting money
13,country line dancing
13,cracking neck
13,crawling baby
13,crossing river
13,crying
13,curling hair
13,cutting nails
13,cutting pineapple
13,cutting watermelon
13,dancing ballet
13,dancing charleston
13,dancing gangnam style
13,dancing macarena
13,deadlifting
13,decorating the christmas tree
13,digging
13,dining
13,disc golfing
13,diving cliff
13,dodgeball
13,doing aerobics
13,doing laundry
13,doing nails
13,drawing
13,dribbling basketball
13,drinking
13,drinking beer
13,drinking shots
13,driving car
13,driving tractor
13,drop kicking
13,drumming fingers
13,dunking basketball
13,dying hair
13,eating burger
13,eating cake
13,eating carrots
13,eating chips
13,eating doughnuts
13,eating hotdog
13,eating ice cream
13,eating spaghetti
13,eating watermelon
13,egg hunting
13,exercising arm
13,exercising with an exercise ball
13,extinguishing fire
13,faceplanting
13,feeding birds
13,feeding fish
13,feeding goats
13,filling eyebrows
13,finger snapping
13,fixing hair
13,flipping pancake
13,flying kite
13,folding clothes
13,folding napkins
13,folding paper
13,front raises
13,frying vegetables
13,garbage collecting
13,gargling
13,getting a haircut
13,getting a tattoo
13,giving or receiving award
13,golf chipping
13,golf driving
13,golf putting
13,grinding meat
13,grooming dog
13,grooming horse
13,gymnastics tumbling
13,hammer throw
13,headbanging
13,headbutting
13,high jump
13,high kick
13,hitting baseball
13,hockey stop
13,holding snake
13,hopscotch
13,hoverboarding
13,hugging
13,hula hooping
13,hurdling
13,hurling (sport)
13,ice climbing
13,ice fishing
13,ice skating
13,ironing
13,javelin throw
13,jetskiing
13,jogging
13,juggling balls
13,juggling fire
13,juggling soccer ball
13,jumping into pool
13,jumpstyle dancing
13,kicking field goal
13,kicking soccer ball
13,kissing
13,kitesurfing
13,knitting
13,krumping
13,laughing
13,laying bricks
13,long jump
13,lunge
13,making a cake
13,making a sandwich
13,making bed
13,making jewelry
13,making pizza
13,making snowman
13,making sushi
13,making tea
13,marching
13,massaging back
13,massaging feet
13,massaging legs
13,massaging person's head
13,milking cow
13,mopping floor
13,motorcycling
13,moving furniture
13,mowing lawn
13,news anchoring
13,opening bottle
13,opening present
13,paragliding
13,parasailing
13,parkour
13,passing American football (in game)
13,passing American football (not in game)
13,peeling apples
13,peeling potatoes
13,petting animal (not cat)
13,petting cat
13,picking fruit
13,planting trees
13,plastering
13,playing accordion
13,playing badminton
13,playing bagpipes
13,playing basketball
13,playing bass guitar
13,playing cards
13,playing cello
13,playing chess
13,playing clarinet
13,playing controller
13,playing cricket
13,playing cymbals
13,playing didgeridoo
13,playing drums
13,playing flute
13,playing guitar
13,playing harmonica
13,playing harp
13,playing ice hockey
13,playing keyboard
13,playing kickball
13,playing monopoly
13,playing organ
13,playing paintball
13,playing piano
13,playing poker
13,playing recorder
13,playing saxophone
13,playing squash or racquetball
13,playing tennis
13,playing trombone
13,playing trumpet
13,playing ukulele
13,playing violin
13,playing volleyball
13,playing xylophone
13,pole vault
13,presenting weather forecast
13,pull ups
13,pumping fist
13,pumping gas
13,punching bag
13,punching person (boxing)
13,push up
13,pushing car
13,pushing cart
13,pushing wheelchair
13,reading book
13,reading newspaper
13,recording music
13,riding a bike
13,riding camel
13,riding elephant
13,riding mechanical bull
13,riding mountain bike
13,riding mule
13,riding or walking with horse
13,riding scooter
13,riding unicycle
13,ripping paper
13,robot dancing
13,rock climbing
13,rock scissors paper
13,roller skating
13,running on treadmill
13,sailing
13,salsa dancing
13,sanding floor
13,scrambling eggs
13,scuba diving
13,setting table
13,shaking hands
13,shaking head
13,sharpening knives
13,sharpening pencil
13,shaving head
13,shaving legs
13,shearing sheep
13,shining shoes
13,shooting basketball
13,shooting goal (soccer)
13,shot put
13,shoveling snow
13,shredding paper
13,shuffling cards
13,side kick
13,sign language interpreting
13,singing
13,situp
13,skateboarding
13,ski jumping
13,skiing (not slalom or crosscountry)
13,skiing crosscountry
13,skiing slalom
13,skipping rope
13,skydiving
13,slacklining
13,slapping
13,sled dog racing
13,smoking
13,smoking hookah
13,snatch weight lifting
13,sneezing
13,sniffing
13,snorkeling
13,snowboarding
13,snowkiting
13,snowmobiling
13,somersaulting
13,spinning poi
13,spray painting
13,spraying
13,springboard diving
13,squat
13,sticking tongue out
13,stomping grapes
13,stretching arm
13,stretching leg
13,strumming guitar
13,surfing crowd
13,surfing water
13,sweeping floor
13,swimming backstroke
13,swimming breast stroke
13,swimming butterfly stroke
13,swing dancing
13,swinging legs
13,swinging on something
13,sword fighting
13,tai chi
13,taking a shower
13,tango dancing
13,tap dancing
13,tapping guitar
13,tapping pen
13,tasting beer
13,tasting food
13,testifying
13,texting
13,throwing axe
13,throwing ball
13,throwing discus
13,tickling
13,tobogganing
